sale_id,timestamp,year,month_num,day,hour,user_id,item_id,department,role,state,product_line,category,subcategory,line_type,quantity,price,amount,budget,variance,spend_to_budget_ratio,days_past_due,aging_bucket,dept_total_opex
S000579,2025-03-05,2025,3,5,0,U0012,I0047,Engineering,Backend,Tennessee,Standard,software_services,Software,expense,2,185.62,369.76,365.35,31.05,1.0120726079801214,4,1-30,466495.3
S000380,2025-01-08,2025,1,8,0,U0028,I0050,Support,Agent,New York,Standard,operations,Other,expense,3,45.16,74.9,71.93,4.02,1.041320365494663,23,1-30,18144.72
S000315,2025-05-17,2025,5,17,0,U0011,I0027,Marketing,Manager,California,Standard,operations,Travel,expense,3,400.04,902.9,858.81,-42.65,1.051345287316031,21,1-30,396244.52
S000091,2025-05-21,2025,5,21,0,U0001,I0046,Engineering,Frontend,Illinois,Subscriptions,software_services,Subscriptions,expense,3,2472.86,73753.33,77930.95,1091.29,0.946393348928657,24,1-30,731138.8
S000715,2025-08-20,2025,8,20,0,U0025,I0011,Marketing,Specialist,New York,Subscriptions,software_services,Subscriptions,expense,3,1301.15,38694.71,39062.27,-1225.36,0.9905904071474458,15,1-30,143517.78
S000037,2025-08-15,2025,8,15,0,U0014,I0016,Engineering,Backend,California,Subscriptions,software_services,Subscriptions,expense,2,913.54,24076.93,23891.26,609.13,1.0077714663834234,5,1-30,464347.05
S000513,2025-02-17,2025,2,17,0,U0022,I0028,Sales,AE,Vermont,Subscriptions,software_services,Subscriptions,expense,3,418.27,15315.46,15726.1,187.57,0.9738880760228746,15,1-30,165958.51
S000101,2025-07-05,2025,7,5,0,U0024,I0005,Engineering,Frontend,Tennessee,Standard,operations,Other,expense,2,36.95,57.39,55.45,13.72,1.0349598365847443,11,1-30,249661.24000000002
S000079,2025-02-09,2025,2,9,0,U0021,I0033,Engineering,Data,Louisiana,Subscriptions,software_services,Subscriptions,expense,2,1179.73,13697.5,13756.72,536.54,0.9956949674089475,8,1-30,466183.24
S000627,2025-08-10,2025,8,10,0,U0009,I0032,Sales,SDR,Florida,Standard,operations,Other,expense,3,194.15,521.85,547.48,-49.28,0.9531839362477355,14,1-30,159470.1
S000253,2025-02-28,2025,2,28,0,U0015,I0012,Marketing,Specialist,Vermont,Subscriptions,software_services,Subscriptions,expense,1,2802.27,32371.48,33341.25,-1561.31,0.9709139325398877,0,current,113070.69
S000264,2025-05-21,2025,5,21,0,U0017,I0018,Marketing,Manager,Tennessee,Standard,revenue,AddOnRevenue,revenue,1,378.69,98.84,103.12,-6.21,0.9584949573312646,10,1-30,396244.52
S000450,2025-03-27,2025,3,27,0,U0015,I0023,Marketing,Specialist,Vermont,Standard,operations,Travel,expense,3,778.02,3449.16,3514.3,-221.18,0.9814644807763447,8,1-30,105774.01
S000523,2025-02-06,2025,2,6,0,U0025,I0037,Marketing,Specialist,New York,Standard,operations,Other,expense,1,43.39,24.47,24.54,0.61,0.9974216080261894,15,1-30,113070.69
S000171,2025-03-25,2025,3,25,0,U0023,I0046,Marketing,Manager,Louisiana,Subscriptions,software_services,Subscriptions,expense,2,2472.86,19133.56,17836.78,860.08,1.072702509072873,16,1-30,105774.01
S000601,2025-05-27,2025,5,27,0,U0001,I0047,Engineering,Frontend,Illinois,Standard,software_services,Software,expense,1,185.62,185.36,182.36,-8.64,1.0164136981040515,0,current,731138.8
S000049,2025-07-17,2025,7,17,0,U0013,I0031,Marketing,Manager,Illinois,Standard,revenue,AddOnRevenue,revenue,1,2285.33,1156.49,1176.34,-26.83,0.9831256269445909,0,current,300389.31
S000238,2025-04-29,2025,4,29,0,U0021,I0044,Engineering,Data,Louisiana,Standard,operations,Other,expense,3,76.23,102.02,106.57,-1.97,0.9573120388706294,19,1-30,342370.18
S000764,2025-07-28,2025,7,28,0,U0006,I0049,Engineering,Data,Texas,Standard,revenue,AddOnRevenue,revenue,2,2110.99,3218.11,3162.52,83.14,1.0175777544489837,7,1-30,249661.24000000002
S000499,2025-05-28,2025,5,28,0,U0020,I0029,Sales,SDR,Illinois,Standard,software_services,Software,expense,1,104.0,75.33,71.54,5.21,1.0528594635120683,0,current,186541.83000000002
S000617,2025-02-05,2025,2,5,0,U0017,I0049,Marketing,Manager,Tennessee,Standard,revenue,AddOnRevenue,revenue,1,2110.99,2227.6,2266.5,77.2,0.9828369733068607,9,1-30,113070.69
S000237,2025-07-24,2025,7,24,0,U0009,I0031,Sales,SDR,Florida,Standard,revenue,AddOnRevenue,revenue,2,2285.33,1474.21,1414.5,58.39,1.042212796041004,22,1-30,428190.42
S000675,2025-01-15,2025,1,15,0,U0009,I0044,Sales,SDR,Florida,Standard,operations,Other,expense,3,76.23,176.34,182.28,-11.48,0.9673962715298604,11,1-30,149523.74
S000308,2025-06-02,2025,6,2,0,U0020,I0007,Sales,SDR,Illinois,Subscriptions,software_services,Subscriptions,expense,2,2355.08,45737.51,49785.27,-2390.1,0.9186957755686742,19,1-30,401655.33
S000275,2025-09-08,2025,9,8,0,U0006,I0019,Engineering,Data,Texas,Standard,people,Payroll,expense,2,2189.74,11124.95,11492.42,24.26,0.9680248304556263,0,current,433946.04000000004
S000135,2025-08-08,2025,8,8,0,U0021,I0045,Engineering,Data,Louisiana,Standard,people,Payroll,expense,3,2198.07,7932.45,7790.1,1529.24,1.0182737236321417,13,1-30,464347.05
S000092,2025-08-09,2025,8,9,0,U0007,I0031,Support,Agent,Washington,Standard,revenue,AddOnRevenue,revenue,2,2285.33,3937.64,3740.05,-92.07,1.0528308445074264,7,1-30,143527.25
S000056,2025-02-03,2025,2,3,0,U0018,I0042,Engineering,Backend,New York,Standard,operations,Travel,expense,2,674.51,1633.32,1624.56,115.71,1.0053940222171516,0,current,466183.24
S000661,2025-08-29,2025,8,29,0,U0026,I0032,Sales,SDR,New York,Standard,operations,Other,expense,2,194.15,287.61,277.29,21.47,1.0372166794374837,13,1-30,159470.1
S000623,2025-07-14,2025,7,14,0,U0023,I0009,Marketing,Manager,Louisiana,Standard,people,Payroll,expense,1,930.6,688.03,694.21,19.89,0.9911021222127155,2,1-30,300389.31
S000798,2025-04-03,2025,4,3,0,U0027,I0029,Support,Lead,Tennessee,Standard,software_services,Software,expense,1,104.0,72.34,79.17,-19.21,0.9137182587427684,12,1-30,64728.380000000005
S000694,2025-05-19,2025,5,19,0,U0013,I0024,Marketing,Manager,Illinois,Standard,operations,Travel,expense,2,719.84,1150.68,1215.78,-94.49,0.946454650207774,14,1-30,396244.52
S000483,2025-05-16,2025,5,16,0,U0024,I0040,Engineering,Frontend,Tennessee,Standard,people,Payroll,expense,2,1905.67,26887.54,28715.2,-3560.44,0.9363523785630133,0,current,731138.8
S000375,2025-02-03,2025,2,3,0,U0026,I0033,Sales,SDR,New York,Subscriptions,software_services,Subscriptions,expense,2,1179.73,13257.87,12486.67,780.06,1.0617623694155136,16,1-30,165958.51
S000165,2025-07-22,2025,7,22,0,U0028,I0018,Support,Agent,New York,Standard,revenue,AddOnRevenue,revenue,2,378.69,392.66,385.52,24.88,1.0185204399252958,5,1-30,140311.24
S000720,2025-09-20,2025,9,20,0,U0006,I0027,Engineering,Data,Texas,Standard,operations,Travel,expense,3,400.04,1862.49,2043.46,7.2,0.9114397580804069,0,current,433946.04000000004
S000633,2025-08-26,2025,8,26,0,U0010,I0008,Sales,AE,Kansas,Standard,revenue,AddOnRevenue,revenue,1,2400.98,2209.68,2204.2,9.52,1.002486162780147,2,1-30,159470.1
S000201,2025-06-28,2025,6,28,0,U0001,I0042,Engineering,Frontend,Illinois,Standard,operations,Travel,expense,1,674.51,1080.98,1016.1,-43.36,1.0638490416099022,26,1-30,288325.66000000003
S000304,2025-09-01,2025,9,1,0,U0023,I0017,Marketing,Manager,Louisiana,Standard,software_services,Software,expense,1,244.1,113.91,117.99,-5.04,0.9654033151912695,15,1-30,58396.86
S000428,2025-01-19,2025,1,19,0,U0006,I0018,Engineering,Data,Texas,Standard,revenue,AddOnRevenue,revenue,2,378.69,207.08,197.32,18.54,1.0494628015406446,17,1-30,755646.49
S000409,2025-05-24,2025,5,24,0,U0020,I0003,Sales,SDR,Illinois,Subscriptions,software_services,Subscriptions,expense,3,2618.21,54530.88,53944.39,488.81,1.0108720207651631,3,1-30,186541.83000000002
S000407,2025-04-19,2025,4,19,0,U0023,I0048,Marketing,Manager,Louisiana,Subscriptions,software_services,Subscriptions,expense,2,1078.49,8562.31,8764.34,-387.5,0.9769486859709581,8,1-30,133936.1
S000669,2025-04-07,2025,4,7,0,U0003,I0036,Engineering,Data,Illinois,Standard,revenue,AddOnRevenue,revenue,1,730.52,384.95,376.88,19.79,1.0214126512417745,3,1-30,342370.18
S000005,2025-08-13,2025,8,13,0,U0028,I0020,Support,Agent,New York,Standard,revenue,AddOnRevenue,revenue,1,1968.66,1541.17,1503.55,-1.71,1.025020784144192,6,1-30,143527.25
S000036,2025-02-12,2025,2,12,0,U0001,I0039,Engineering,Frontend,Illinois,Standard,operations,Travel,expense,1,220.18,227.2,229.94,-8.79,0.9880913128012667,12,1-30,466183.24
S000268,2025-02-21,2025,2,21,0,U0015,I0029,Marketing,Specialist,Vermont,Standard,software_services,Software,expense,3,104.0,434.86,494.56,-45.6,0.8792946074484481,0,current,113070.69
S000042,2025-08-16,2025,8,16,0,U0028,I0001,Support,Agent,New York,Subscriptions,software_services,Subscriptions,expense,2,2389.68,34537.55,34033.86,-138.56,1.014799699484355,0,current,143527.25
S000719,2025-04-07,2025,4,7,0,U0010,I0019,Sales,AE,Kansas,Standard,people,Payroll,expense,2,2189.74,5095.42,5065.92,-208.26,1.0058234207525711,0,current,149412.36
S000139,2025-09-24,2025,9,24,0,U0018,I0044,Engineering,Backend,New York,Standard,operations,Other,expense,2,76.23,139.22,139.55,1.62,0.9976706364830329,0,current,433946.04000000004
S000148,2025-03-22,2025,3,22,0,U0018,I0017,Engineering,Backend,New York,Standard,software_services,Software,expense,3,244.1,775.21,798.01,-29.24,0.9714275390401631,23,1-30,466495.3
S000251,2025-01-19,2025,1,19,0,U0021,I0033,Engineering,Data,Louisiana,Subscriptions,software_services,Subscriptions,expense,3,1179.73,23606.37,23918.38,778.5,0.9869550088499575,7,1-30,755646.49
S000393,2025-02-22,2025,2,22,0,U0010,I0038,Sales,AE,Kansas,Standard,software_services,Software,expense,2,216.5,381.14,360.87,19.41,1.056154731522077,0,current,165958.51
S000640,2025-04-09,2025,4,9,0,U0019,I0031,Marketing,Manager,Florida,Standard,revenue,AddOnRevenue,revenue,1,2285.33,1799.25,1822.76,56.56,0.9871019772213566,5,1-30,133936.1
S000076,2025-01-22,2025,1,22,0,U0028,I0005,Support,Agent,New York,Standard,operations,Other,expense,2,36.95,37.49,35.82,-1.76,1.0467773562732574,6,1-30,18144.72
S000178,2025-03-29,2025,3,29,0,U0018,I0035,Engineering,Backend,New York,Subscriptions,software_services,Subscriptions,expense,2,1567.8,35614.13,34579.6,1959.89,1.0299173523537442,0,current,466495.3
S000075,2025-05-22,2025,5,22,0,U0024,I0026,Engineering,Frontend,Tennessee,Subscriptions,software_services,Subscriptions,expense,2,825.52,18748.35,18144.51,2638.57,1.0332792618156714,8,1-30,731138.8
S000554,2025-03-19,2025,3,19,0,U0021,I0047,Engineering,Data,Louisiana,Standard,software_services,Software,expense,2,185.62,204.95,202.35,4.6,1.0128317190540765,10,1-30,466495.3
S000644,2025-09-12,2025,9,12,0,U0012,I0014,Engineering,Backend,Tennessee,Standard,operations,Other,expense,1,168.1,178.41,189.02,-7.76,0.9438411008956019,0,current,433946.04000000004
S000767,2025-04-25,2025,4,25,0,U0016,I0030,Engineering,Frontend,Louisiana,Standard,software_services,Software,expense,2,289.07,340.1,359.1,25.12,0.9471061867734563,0,current,342370.18
S000590,2025-03-13,2025,3,13,0,U0006,I0037,Engineering,Data,Texas,Standard,operations,Other,expense,2,43.39,76.46,74.93,3.98,1.0204875609811646,1,1-30,466495.3
S000557,2025-05-01,2025,5,1,0,U0025,I0038,Marketing,Specialist,New York,Standard,software_services,Software,expense,2,216.5,321.84,337.5,-7.85,0.9535837934605488,0,current,396244.52
S000172,2025-06-05,2025,6,5,0,U0020,I0008,Sales,SDR,Illinois,Standard,revenue,AddOnRevenue,revenue,1,2400.98,577.49,585.23,-7.83,0.9867744305657604,4,1-30,401655.33
S000293,2025-09-22,2025,9,22,0,U0017,I0042,Marketing,Manager,Tennessee,Standard,operations,Travel,expense,2,674.51,1395.94,1328.48,-48.29,1.0507757608241466,9,1-30,58396.86
S000438,2025-03-24,2025,3,24,0,U0004,I0008,Engineering,Data,Washington,Standard,revenue,AddOnRevenue,revenue,1,2400.98,1398.54,1430.47,-100.74,0.977678665054143,0,current,466495.3
S000012,2025-01-06,2025,1,6,0,U0014,I0022,Engineering,Backend,California,Subscriptions,software_services,Subscriptions,expense,3,1257.22,38564.57,38522.48,3130.69,1.001092607276172,2,1-30,755646.49
S000426,2025-03-10,2025,3,10,0,U0027,I0047,Support,Lead,Tennessee,Standard,software_services,Software,expense,1,185.62,136.05,136.64,1.95,0.995652001219699,9,1-30,38145.840000000004
S000568,2025-07-22,2025,7,22,0,U0021,I0049,Engineering,Data,Louisiana,Standard,revenue,AddOnRevenue,revenue,3,2110.99,3174.62,3443.26,-97.89,0.9219809134366849,12,1-30,249661.24000000002
S000716,2025-09-05,2025,9,5,0,U0003,I0035,Engineering,Data,Illinois,Subscriptions,software_services,Subscriptions,expense,3,1567.8,53889.6,53888.87,770.2,1.000013505204409,25,1-30,433946.04000000004
S000179,2025-03-30,2025,3,30,0,U0020,I0013,Sales,SDR,Illinois,Standard,people,Payroll,expense,3,1858.96,7368.26,6917.39,760.41,1.0651782533904044,19,1-30,165634.36000000002
S000292,2025-02-02,2025,2,2,0,U0023,I0024,Marketing,Manager,Louisiana,Standard,operations,Travel,expense,2,719.84,452.2,475.59,-7.83,0.9508292010670485,22,1-30,113070.69
S000652,2025-05-31,2025,5,31,0,U0027,I0038,Support,Lead,Tennessee,Standard,software_services,Software,expense,2,216.5,304.8,304.61,15.08,1.0006256879710764,12,1-30,76628.45999999999
S000754,2025-01-19,2025,1,19,0,U0011,I0021,Marketing,Manager,California,Standard,operations,Other,expense,1,156.46,118.84,128.47,-9.67,0.9250552360194929,13,1-30,138890.43
S000281,2025-07-05,2025,7,5,0,U0022,I0018,Sales,AE,Vermont,Standard,revenue,AddOnRevenue,revenue,1,378.69,255.09,241.53,0.19,1.056142094149795,0,current,428190.42
S000173,2025-07-11,2025,7,11,0,U0003,I0022,Engineering,Data,Illinois,Subscriptions,software_services,Subscriptions,expense,1,1257.22,13887.92,15089.66,-1899.03,0.9203602870139236,7,1-30,249661.24000000002
S000591,2025-04-30,2025,4,30,0,U0024,I0021,Engineering,Frontend,Tennessee,Standard,operations,Other,expense,3,156.46,346.66,349.63,44.91,0.9915062758210129,26,1-30,342370.18
S000649,2025-03-08,2025,3,8,0,U0022,I0027,Sales,AE,Vermont,Standard,operations,Travel,expense,1,400.04,984.3,1069.59,-136.86,0.92025623679922,0,current,165634.36000000002
S000284,2025-04-24,2025,4,24,0,U0021,I0007,Engineering,Data,Louisiana,Subscriptions,software_services,Subscriptions,expense,2,2355.08,21412.24,21617.12,-1170.28,0.9905222244230361,6,1-30,342370.18
S000295,2025-01-29,2025,1,29,0,U0011,I0020,Marketing,Manager,California,Standard,revenue,AddOnRevenue,revenue,1,1968.66,1680.89,1674.19,-75.36,1.0040019352642173,0,current,138890.43
S000014,2025-07-05,2025,7,5,0,U0008,I0013,Marketing,Manager,Illinois,Standard,people,Payroll,expense,2,1858.96,4991.29,5233.76,-339.76,0.9536712029297236,0,current,300389.31
S000307,2025-09-02,2025,9,2,0,U0024,I0028,Engineering,Frontend,Tennessee,Subscriptions,software_services,Subscriptions,expense,2,418.27,8685.47,9237.09,-1476.17,0.9402817259637771,0,current,433946.04000000004
S000456,2025-07-04,2025,7,4,0,U0019,I0025,Marketing,Manager,Florida,Standard,people,Payroll,expense,1,2101.09,2795.1,3040.95,-320.42,0.9191520299917527,13,1-30,300389.31
S000132,2025-08-29,2025,8,29,0,U0017,I0021,Marketing,Manager,Tennessee,Standard,operations,Other,expense,3,156.46,326.79,328.72,17.91,0.9941194572287438,0,current,143517.78
S000447,2025-05-19,2025,5,19,0,U0004,I0048,Engineering,Data,Washington,Subscriptions,software_services,Subscriptions,expense,3,1078.49,35669.39,41624.91,-5362.55,0.8569240814949662,3,1-30,731138.8
S000539,2025-01-19,2025,1,19,0,U0012,I0031,Engineering,Backend,Tennessee,Standard,revenue,AddOnRevenue,revenue,1,2285.33,593.43,582.08,-28.42,1.01949903793293,0,current,755646.49
S000055,2025-06-27,2025,6,27,0,U0024,I0038,Engineering,Frontend,Tennessee,Standard,software_services,Software,expense,3,216.5,760.77,740.27,197.59,1.0277058250662046,2,1-30,288325.66000000003
S000261,2025-03-08,2025,3,8,0,U0026,I0039,Sales,SDR,New York,Standard,operations,Travel,expense,1,220.18,184.92,185.43,9.96,0.9972532566898541,22,1-30,165634.36000000002
S000522,2025-09-25,2025,9,25,0,U0018,I0021,Engineering,Backend,New York,Standard,operations,Other,expense,1,156.46,153.47,158.28,-10.77,0.9695880135331355,36,31-60,433946.04000000004
S000339,2025-05-24,2025,5,24,0,U0016,I0013,Engineering,Frontend,Louisiana,Standard,people,Payroll,expense,2,1858.96,13309.23,13425.27,1167.7,0.9913564458778282,4,1-30,731138.8
S000098,2025-03-05,2025,3,5,0,U0013,I0038,Marketing,Manager,Illinois,Standard,software_services,Software,expense,1,216.5,162.17,167.35,-1.36,0.9690167032935694,0,current,105774.01
S000637,2025-02-17,2025,2,17,0,U0016,I0006,Engineering,Frontend,Louisiana,Standard,software_services,Software,expense,3,391.47,593.69,554.05,56.38,1.0715549582794648,10,1-30,466183.24
S000400,2025-04-13,2025,4,13,0,U0018,I0021,Engineering,Backend,New York,Standard,operations,Other,expense,2,156.46,260.12,260.34,23.48,0.9991581638133286,0,current,342370.18
S000044,2025-02-19,2025,2,19,0,U0012,I0038,Engineering,Backend,Tennessee,Standard,software_services,Software,expense,1,216.5,269.07,261.45,30.92,1.0291327620993853,16,1-30,466183.24
S000527,2025-01-24,2025,1,24,0,U0006,I0001,Engineering,Data,Texas,Subscriptions,software_services,Subscriptions,expense,1,2389.68,25610.7,24756.48,-1072.66,1.0345045707587697,0,current,755646.49
S000163,2025-08-31,2025,8,31,0,U0028,I0002,Support,Agent,New York,Standard,people,Payroll,expense,1,1489.98,1819.05,1983.16,-259.17,0.9172452328407408,0,current,143527.25
S000628,2025-01-02,2025,1,2,0,U0022,I0015,Sales,AE,Vermont,Standard,software_services,Software,expense,2,205.19,592.99,653.52,-88.56,0.9073788542505523,18,1-30,149523.74
S000352,2025-03-24,2025,3,24,0,U0004,I0021,Engineering,Data,Washington,Standard,operations,Other,expense,1,156.46,135.28,119.17,19.05,1.1351992553639694,2,1-30,466495.3
S000247,2025-08-23,2025,8,23,0,U0008,I0028,Marketing,Manager,Illinois,Subscriptions,software_services,Subscriptions,expense,1,418.27,3417.19,3543.86,97.5,0.9642561719051245,1,1-30,143517.78
S000699,2025-08-12,2025,8,12,0,U0024,I0033,Engineering,Frontend,Tennessee,Subscriptions,software_services,Subscriptions,expense,3,1179.73,53364.11,49897.35,2093.61,1.0694780129290031,5,1-30,464347.05
S000747,2025-01-10,2025,1,10,0,U0022,I0047,Sales,AE,Vermont,Standard,software_services,Software,expense,1,185.62,320.95,336.13,-26.98,0.954825873138808,0,current,149523.74
S000218,2025-08-30,2025,8,30,0,U0005,I0010,Engineering,Frontend,New York,Subscriptions,software_services,Subscriptions,expense,2,1516.04,36912.84,36120.02,-1151.44,1.0219495514694448,0,current,464347.05
S000398,2025-01-05,2025,1,5,0,U0012,I0033,Engineering,Backend,Tennessee,Subscriptions,software_services,Subscriptions,expense,3,1179.73,42083.53,43711.75,-2958.25,0.9627508530637179,11,1-30,755646.49
S000515,2025-01-08,2025,1,8,0,U0027,I0049,Support,Lead,Tennessee,Standard,revenue,AddOnRevenue,revenue,1,2110.99,9966.2,10898.89,-1648.38,0.9144233954099914,12,1-30,18144.72
S000688,2025-04-19,2025,4,19,0,U0027,I0048,Support,Lead,Tennessee,Subscriptions,software_services,Subscriptions,expense,1,1078.49,7218.46,7271.58,1318.18,0.9926942984202728,7,1-30,64728.380000000005
S000231,2025-04-22,2025,4,22,0,U0001,I0017,Engineering,Frontend,Illinois,Standard,software_services,Software,expense,3,244.1,764.79,773.19,-24.41,0.9891386920890661,8,1-30,342370.18
S000233,2025-09-04,2025,9,4,0,U0014,I0022,Engineering,Backend,California,Subscriptions,software_services,Subscriptions,expense,3,1257.22,37135.22,38820.4,-4721.84,0.956590328467961,7,1-30,433946.04000000004
S000103,2025-03-01,2025,3,1,0,U0006,I0031,Engineering,Data,Texas,Standard,revenue,AddOnRevenue,revenue,1,2285.33,1073.16,1124.39,-92.61,0.9544375172315656,8,1-30,466495.3
S000006,2025-09-29,2025,9,29,0,U0018,I0033,Engineering,Backend,New York,Subscriptions,software_services,Subscriptions,expense,2,1179.73,28841.63,29828.85,-1510.78,0.9669037029466674,1,1-30,433946.04000000004
S000189,2025-07-23,2025,7,23,0,U0020,I0007,Sales,SDR,Illinois,Subscriptions,software_services,Subscriptions,expense,3,2355.08,78977.37,80637.49,-3095.86,0.9794125291157675,0,current,428190.42
S000656,2025-05-26,2025,5,26,0,U0004,I0004,Engineering,Data,Washington,Standard,people,Payroll,expense,3,1955.26,28203.83,28282.24,-140.61,0.9972273312596043,0,current,731138.8
S000108,2025-06-23,2025,6,23,0,U0028,I0004,Support,Agent,New York,Standard,people,Payroll,expense,2,1955.26,5573.71,5722.88,-270.52,0.9739338540681357,0,current,52264.88
S000290,2025-07-30,2025,7,30,0,U0002,I0024,Sales,AE,Texas,Standard,operations,Travel,expense,3,719.84,2214.63,2206.69,-135.49,1.0036008820958526,27,1-30,428190.42
S000397,2025-08-19,2025,8,19,0,U0012,I0016,Engineering,Backend,Tennessee,Subscriptions,software_services,Subscriptions,expense,3,913.54,28833.28,30193.55,911.33,0.9549482985372524,0,current,464347.05
S000787,2025-01-05,2025,1,5,0,U0008,I0015,Marketing,Manager,Illinois,Standard,software_services,Software,expense,2,205.19,291.1,275.54,10.88,1.056474115647396,0,current,138890.43
S000464,2025-03-03,2025,3,3,0,U0024,I0037,Engineering,Frontend,Tennessee,Standard,operations,Other,expense,2,43.39,56.28,55.51,-6.97,1.0139166469785252,3,1-30,466495.3
S000753,2025-02-11,2025,2,11,0,U0027,I0030,Support,Lead,Tennessee,Standard,software_services,Software,expense,1,289.07,178.45,176.78,-5.24,1.0094355481705608,19,1-30,142149.41
S000674,2025-01-27,2025,1,27,0,U0019,I0024,Marketing,Manager,Florida,Standard,operations,Travel,expense,2,719.84,1300.3,1246.35,100.34,1.043290850158991,15,1-30,138890.43
S000521,2025-08-17,2025,8,17,0,U0027,I0003,Support,Lead,Tennessee,Subscriptions,software_services,Subscriptions,expense,3,2618.21,54351.72,49917.27,5149.35,1.088835992355881,7,1-30,143527.25
S000663,2025-04-02,2025,4,2,0,U0015,I0008,Marketing,Specialist,Vermont,Standard,revenue,AddOnRevenue,revenue,3,2400.98,11515.81,11931.42,-565.36,0.965166761374589,1,1-30,133936.1
S000270,2025-08-06,2025,8,6,0,U0004,I0015,Engineering,Data,Washington,Standard,software_services,Software,expense,3,205.19,663.48,671.41,-65.13,0.9881776790017743,8,1-30,464347.05
S000732,2025-07-30,2025,7,30,0,U0007,I0005,Support,Agent,Washington,Standard,operations,Other,expense,2,36.95,45.19,46.27,-2.63,0.9767206610205701,25,1-30,140311.24
